"what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircraft.,""1"",""3"",,,,,,"
"what are the structural and aeroelastic problems associated with flight of high speed aircraft.,""1"",""3"",,,,,,"
"can a criterion be developed to show empirically the validity of flow solutions for chemically reacting gas mixtures based on the simplifying assumption of instantaneous local chemical equilibrium.,""1"",""3"",,,,,,"
"is it possible to relate the available pressure distributions for an ogive forebody at zero angle of attack to the lower surface pressures of an equivalent ogive forebody at angle of attack.,""1"",""3"",,,,,,"
"what methods -dash exact or approximate -dash are presently available for predicting body pressures at angle of attack.,""1"",""3"",,,,,,"
"papers on internal /slip flow/ heat transfer studies.,""1"",""3"",,,,,,"
"are real-gas transport properties for air available over a wide range of enthalpies and densities.,""1"",""3"",,,,,,"
"is it possible to find an analytical, similar solution of the strong blast wave problem in the newtonian approximation.,""1"",""3"",,,,,,"
"how can the aerodynamic performance of channel flow ground effect machines be calculated.,""1"",""3"",,,,,,"
"what is the basic mechanism of the transonic aileron buzz.,""1"",""3"",,,,,,"
"papers on shock-sound wave interaction.,""1"",""3"",,,,,,"
"material properties of photoelastic materials.,""1"",""3"",,,,,,"
"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem.,""1"",""3"",,,,,,"
"can the transverse potential flow about a body of revolution be calculated efficiently by an electronic computer.,""1"",""3"",,,,,,"
"does there exist a good basic treatment of the dynamics of re-entry combining consideration of realistic effects with relative simplicity of results.,""1"",""3"",,,,,,"
"why does the compressibility transformation fail to correlate the high speed data for helium and air.,""1"",""3"",,,,,,"
"has anyone formally determined the influence of joule heating, produced by the induced current, in magnetohydrodynamic free convection flows under general conditions.,""1"",""3"",,,,,,"
"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature.,""1"",""3"",,,,,,"
"what are the factors which influence the time required to invert large structural matrices.""1"",""3"",,,,,,"
"how is the design of ring or part ring wings by linear theory affected by thickness.,""1"",""3"",,,,,,"
"what is a single approximate formula for the displacement thickness of a laminar boundary layer in compressible flow on a flat plate.,""1"",""3"",,,,,,"
"what application has the linear theory design of curved wings.,""1"",""3"",,,,,,"
"have wind tunnel interference effects been investigated on a systematic basis.,""1"",""3"",,,,,,"
"are there any papers dealing with acoustic wave propagation in reacting gases.,""1"",""3"",,,,,,"
"how do interference-free longitudinal stability measurements (made using free-flight models) compare with similar measurements made in a low-blockage wind tunnel.,""1"",""3"",,,,,,"
"what is a criterion that the transonic flow around an airfoil with a round leading edge be validly analyzed by the linearized transonic flow theory.,""1"",""3"",,,,,,"
"can the transonic flow around an arbitrary smooth thin airfoil be analysed in a simple approximate way.,""1"",""3"",,,,,,"
"how can one detect transition phenomena in hypersonic wakes.,""1"",""3"",,,,,,"
"what are the details of the rigorous kinetic theory of gases . (chapman-enskog theory).,""1"",""3"",,,,,,"
"has anyone investigated the effect of surface mass transfer on hypersonic viscous interactions.,""1"",""3"",,,,,,"
"what is the available information pertaining to boundary layers on very slender bodies of revolution in continuum flow (the ?transverse curvature effect).,""1"",""3"",,,,,,"
"can the three-point boundary-value problem for the blasius equation be integrated numerically, using suitable transformations, without iteration on the boundary conditions.,""1"",""3"",,,,,,"
"to what extent can the available information for incompressible boundary layers be applied to problems involving compressible boundary layers.,""1"",""3"",,,,,,"
"how is the heat transfer downstream of the mass transfer region effected by mass transfer at the nose of a blunted cone.,""1"",""3"",,,,,,"
"what investigations have been made of the flow field about a body moving through a rarefied, partially ionized gas in the presence of a magnetic field.,""1"",""3"",,,,,,"
"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows (the ?slip? effect).,""1"",""3"",,,,,,"
"is it possible to determine rates of forced convective heat transfer from heated cylinders of non-circular cross-section, (the fluid flow being along the generators).,""1"",""3"",,,,,,"
"what are the significant steady and non-steady flow characteristics which affect the flutter mechanism.,""1"",""3"",,,,,,"
"to what extent can readily available steady-state aerodynamic data be utilized to predict lifting-surface flutter characteristics.,""1"",""3"",,,,,,"
"how far around a cylinder and under what conditions of flow, if any, is the velocity just outside of the boundary layer a linear function of the distance around the cylinder.,""1"",""3"",,,,,,"
"what is known regarding asymptotic solutions to the exact boundary layer equations.,""1"",""3"",,,,,,"
"previous solutions to the boundary layer similarity equations.,""1"",""3"",,,,,,"
"experimental results on hypersonic viscous interaction.,""1"",""3"",,,,,,"
"can't the static deflection shapes be used in predicting flutter in place of vibrational shapes . if so, can we provide a justification by means of an example.,""1"",""3"",,,,,,"
"can the procedure of matching inner and outer solutions for a viscous flow problem be applied when the main stream is a shear flow.,""1"",""3"",,,,,,"
"can series expansions be found for the boundary layer on a flat plate in a shear flow.,""1"",""3"",,,,,,"
"has anyone explained the kink in the surge line of a multi-stage axial compressor.,""1"",""3"",,,,,,"
"have any aerodynamic derivatives been measured at hypersonic mach numbers and comparison been made with theoretical work.,""1"",""3"",,,,,,"
"what has been done about viscous interactions in relatively low reynolds number flows, particularly at high mach numbers.,""1"",""3"",,,,,,"
"how significant is the possible pressure of a dissociated free stream with respect to the realization of hypersonic simulation in high enthalpy wind tunnels.,""1"",""3"",,,,,,"
"do the discrepancies among current analyses of the vorticity effect on stagnation-point heat transfer result primarily from the differences in the viscosity-temperature law assumed.,""1"",""3"",,,,,,"
"what effect has the boundary layer in modifying the basic inviscid flow behind the shock, neglecting effects of leading edge and corner.,""1"",""3"",,,,,,"
"can series exists be found for the boundary layer on a flat plate in a shear flow.,""1"",""3"",,,,,,"
"has anyone feel the kink in the surge line of a multi-stage axial compressor.,""1"",""3"",,,,,,"
"have any tazi derivatives been measured at hypersonic mach numbers and comparison been made with theoretical work.,""1"",""3"",,,,,,"
"how has been done about viscous interactions in relatively low reynolds number flows, particularly at high mach numbers.,""1"",""3"",,,,,,"
"how bigis the possible pressure of a dissociated free stream with respect to the realization of hypersonic simulation in high enthalpy wind tunnels.,""1"",""3"",,,,,,"
"do the questions among current analyses of the vorticity effect on stagnation-point heat transfer result primarily from the differences in the viscosity-temperature law assumed.,""1"",""3"",,,,,,"
"what question has the boundary layer in modifying the basic inviscid flow behind the shock, neglecting effects of leading edge and corner.,""1"",""3"",,,,,,"
"series expansions be found for the boundary layer on a flat plate in a shear flow.,""1"",""3"",,,,,,"
"someone explained the kink in the surge line of a multi-stage axial compressor.,""1"",""3"",,,,,,"
"pizza derivatives been measured at hypersonic mach numbers and comparison been made with theoretical work.,""1"",""3"",,,,,,"
"what has been done books in relatively low reynolds number flows, particularly at high mach numbers.,""1"",""3"",,,,,,"
"how positive is the possible feeling of a dissociated free stream with respect to the realization of hypersonic simulation in high enthalpy wind tunnels.,""1"",""3"",,,,,,"
"do the files among current analyses of the vorticity effect on stagnation-point heat transfer result primarily from the differences in the viscosity-temperature law assumed.,""1"",""3"",,,,,,"
"how big has the boundary layer in modifying the basic inviscid flow behind the shock, neglecting effects of leading edge and corner.,""1"",""3"",,,,,,"
"boundary layer on a flat plate in a shear flow.,""1"",""3"",,,,,,"
"have you feel the kink in the surge line of a multi-stage axial compressor.,""1"",""3"",,,,,,"
"do you know how you been measured at hypersonic mach numbers and comparison been made with theoretical work.,""1"",""3"",,,,,,"
